Format Version,1.23,Take Name,Imu data1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-10-23 10.49.27.971 AM,Total Frames in Take,3036,Total Exported Frames,3036,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-0.003463,-0.350904,0.006569,-0.936382,-0.323315,0.668556,0.371967,0.000220,-0.322326,0.670067,0.352513,0.910498,-0.325783,0.670262,0.386630,0.960716,-0.339461,0.670419,0.370856,0.973915,-0.305691,0.663474,0.377869,0.898704,0.521130,0.003508,-0.019873,0.112913,0.571477,0.120246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322092,0.670048,0.352783,-0.325812,0.670389,0.386717,-0.339469,0.670315,0.370852,-0.305888,0.663471,0.377515
17,0.170000,-0.003565,-0.350957,0.006616,-0.936362,-0.323308,0.668550,0.371971,0.000219,-0.322321,0.670064,0.352517,0.910629,-0.325774,0.670254,0.386634,0.960633,-0.339454,0.670415,0.370862,0.973912,-0.305684,0.663464,0.377870,0.899603,0.521128,0.003502,-0.019877,0.112913,0.571474,0.120256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322089,0.670045,0.352788,-0.325806,0.670382,0.386720,-0.339463,0.670311,0.370859,-0.305876,0.663459,0.377517
18,0.180000,-0.003496,-0.350906,0.006514,-0.936381,-0.323305,0.668553,0.371976,0.000219,-0.322316,0.670067,0.352522,0.911119,-0.325773,0.670258,0.386639,0.961283,-0.339451,0.670415,0.370865,0.973570,-0.305680,0.663472,0.377877,0.899982,0.521116,0.003513,-0.019863,0.112912,0.571471,0.120249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322086,0.670049,0.352792,-0.325801,0.670386,0.386721,-0.339458,0.670309,0.370862,-0.305876,0.663467,0.377528
19,0.190000,-0.003561,-0.350929,0.006599,-0.936372,-0.323303,0.668555,0.371979,0.000219,-0.322314,0.670070,0.352525,0.911090,-0.325769,0.670259,0.386642,0.961435,-0.339448,0.670420,0.370869,0.974240,-0.305679,0.663470,0.377879,0.899104,0.521138,0.003512,-0.019872,0.112908,0.571468,0.120253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322082,0.670049,0.352794,-0.325801,0.670384,0.386726,-0.339451,0.670317,0.370868,-0.305876,0.663468,0.377527
20,0.200000,-0.003466,-0.350888,0.006502,-0.936389,-0.323305,0.668556,0.371977,0.000221,-0.322315,0.670069,0.352523,0.910769,-0.325774,0.670261,0.386640,0.960386,-0.339451,0.670417,0.370866,0.973669,-0.305681,0.663476,0.377879,0.899393,0.521119,0.003504,-0.019871,0.112913,0.571474,0.120269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322085,0.670050,0.352795,-0.325804,0.670390,0.386727,-0.339458,0.670312,0.370859,-0.305874,0.663471,0.377526
21,0.210000,-0.003496,-0.350922,0.006530,-0.936375,-0.323306,0.668556,0.371974,0.000222,-0.322317,0.670069,0.352520,0.910119,-0.325773,0.670260,0.386637,0.960922,-0.339452,0.670418,0.370864,0.973893,-0.305681,0.663474,0.377874,0.898716,0.521125,0.003504,-0.019865,0.112914,0.571473,0.120270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322085,0.670049,0.352793,-0.325802,0.670388,0.386723,-0.339459,0.670314,0.370859,-0.305878,0.663471,0.377520
22,0.220000,-0.003540,-0.350922,0.006519,-0.936375,-0.323305,0.668555,0.371976,0.000222,-0.322317,0.670070,0.352522,0.911269,-0.325773,0.670258,0.386639,0.961469,-0.339451,0.670417,0.370866,0.974100,-0.305681,0.663473,0.377877,0.898736,,,,0.112907,0.571474,0.120249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322088,0.670050,0.352793,-0.325801,0.670383,0.386725,-0.339450,0.670314,0.370862,-0.305882,0.663472,0.377525
23,0.230000,-0.003479,-0.351013,0.006627,-0.936341,-0.323306,0.668554,0.371970,0.000217,-0.322321,0.670066,0.352516,0.911710,-0.325770,0.670261,0.386633,0.961521,-0.339452,0.670419,0.370863,0.974128,-0.305681,0.663471,0.377868,0.900107,0.521120,0.003508,-0.019869,0.112908,0.571473,0.120248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322091,0.670047,0.352783,-0.325802,0.670387,0.386715,-0.339456,0.670316,0.370862,-0.305876,0.663467,0.377519
24,0.240000,-0.003495,-0.350955,0.006652,-0.936362,-0.323310,0.668556,0.371968,0.000222,-0.322323,0.670068,0.352514,0.911191,-0.325776,0.670263,0.386631,0.960285,-0.339456,0.670422,0.370859,0.973473,-0.305686,0.663472,0.377868,0.899331,0.521123,0.003481,-0.019877,0.112911,0.571468,0.120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322094,0.670050,0.352785,-0.325810,0.670393,0.386716,-0.339456,0.670316,0.370855,-0.305881,0.663466,0.377515
25,0.250000,-0.003570,-0.350938,0.006681,-0.936368,-0.323315,0.668556,0.371962,0.000220,-0.322327,0.670070,0.352508,0.910373,-0.325781,0.670261,0.386625,0.960583,-0.339461,0.670424,0.370852,0.973868,-0.305692,0.663469,0.377862,0.899671,,,,0.112908,0.571478,0.120245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322094,0.670051,0.352780,-0.325813,0.670390,0.386710,-0.339471,0.670320,0.370848,-0.305882,0.663463,0.377508
26,0.260000,-0.003513,-0.350888,0.006619,-0.936387,-0.323316,0.668558,0.371963,0.000221,-0.322326,0.670071,0.352509,0.910373,-0.325784,0.670264,0.386626,0.960583,-0.339462,0.670423,0.370852,0.973868,-0.305693,0.663473,0.377866,0.899671,0.521129,0.003502,-0.019863,0.112909,0.571477,0.120243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322092,0.670051,0.352780,-0.325813,0.670392,0.386715,-0.339468,0.670318,0.370849,-0.305892,0.663470,0.377511
27,0.270000,-0.003541,-0.350899,0.006735,-0.936382,-0.323317,0.668555,0.371960,0.000219,-0.322327,0.670068,0.352506,0.910534,-0.325784,0.670262,0.386622,0.960424,-0.339462,0.670424,0.370849,0.973671,-0.305695,0.663467,0.377861,0.898307,0.521132,0.003483,-0.019873,0.112903,0.571479,0.120250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322092,0.670046,0.352778,-0.325813,0.670387,0.386709,-0.339477,0.670324,0.370844,-0.305886,0.663465,0.377507
28,0.280000,-0.003568,-0.350944,0.006524,-0.936367,-0.323313,0.668558,0.371964,0.000221,-0.322326,0.670075,0.352510,0.909902,-0.325780,0.670261,0.386627,0.961260,-0.339459,0.670422,0.370855,0.974538,-0.305689,0.663476,0.377863,0.899346,0.521135,0.003506,-0.019873,0.112903,0.571465,0.120236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322097,0.670055,0.352781,-0.325811,0.670388,0.386713,-0.339461,0.670318,0.370850,-0.305884,0.663473,0.377511
29,0.290000,-0.003597,-0.350929,0.006606,-0.936372,-0.323315,0.668554,0.371963,0.000222,-0.322326,0.670070,0.352509,0.911209,-0.325781,0.670257,0.386627,0.961047,-0.339460,0.670420,0.370854,0.974127,-0.305691,0.663468,0.377863,0.899404,0.521124,0.003496,-0.019870,0.112895,0.571483,0.120238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322094,0.670053,0.352786,-0.325813,0.670390,0.386710,-0.339470,0.670312,0.370849,-0.305883,0.663461,0.377508
30,0.300000,-0.003513,-0.350934,0.006543,-0.936371,-0.323317,0.668555,0.371969,0.000219,-0.322329,0.670069,0.352515,0.909605,-0.325784,0.670260,0.386632,0.960023,-0.339463,0.670418,0.370859,0.972985,-0.305692,0.663473,0.377869,0.899113,0.521121,0.003490,-0.019874,0.112907,0.571476,0.120237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322097,0.670049,0.352784,-0.325813,0.670386,0.386719,-0.339468,0.670315,0.370856,-0.305890,0.663471,0.377517
